variant,variant_order,candidate_facility_count,fixed_facility_count,forbidden_facility_count,candidate_facility_fraction,fixed_facilities,forbidden_facilities,model_build_seconds,objective_value,solve_seconds,total_variant_seconds,evaluated_replacements,open_facilities_count,open_facilities,status,error_message,instance_group,instance,reoptimization_instance,instance_id,n,p,edge_weight_type,raw_path,reference_source,reference_cost,reference_facilities,metaheuristic_runtime_seconds,structure_extraction_runtime_seconds,pre_reoptimization_seconds,removed_facility,removed_facility_zero_based,removal_position,remaining_reference_facilities,remaining_reference_facilities_count,source_ltm_size,top_fraction,top_solution_count,top_cost_cutoff,full_ltm_cost_min,full_ltm_cost_max,top_ltm_cost_min,top_ltm_cost_max,replacement_pool_strategy,replacement_pool_reference_variant,replacement_pool_target_size,replacement_pool_available_candidate_count,replacement_pool_shortfall,replacement_pool_excluded_best_facilities,memory_strategy,overlap_with_reference_count,overlap_with_reference_fraction,dropped_reference_facilities_count,new_facilities_count,dropped_reference_facilities,new_facilities,total_pipeline_seconds,analysis_memory_size,analysis_memory_min_cost,analysis_memory_max_cost,analysis_solution_count,analysis_swap_edges,analysis_component_count,analysis_largest_component_size,analysis_smallest_component_size,analysis_is_connected,cooccurrence_active_nodes,cooccurrence_edges,cooccurrence_total_weight,max_k_cut_ignored_nodes,max_k_cut_fraction_cut,max_k_cut_best_facility_separation,pre_connection_component_count,pre_connection_solution_count,post_connection_solution_count,post_connection_component_count,trajectory_added_solution_count,trajectory_movement_count,trajectory_generated_out_of_range_count,trajectory_connection_edge_count,guard_fallback_used,best_component_solution_count,best_component_selection_reason,max_k_cut_removed_group_found,max_k_cut_removed_group_size,max_k_cut_replacement_pool_size,max_k_cut_removed_group,max_k_cut_replacement_pool,max_k_cut_groups_formatted,baseline_status,baseline_objective_value,baseline_total_variant_seconds,baseline_total_pipeline_seconds,gap_to_baseline_percent,time_delta_to_baseline_seconds,baseline_is_optimal
max_k_cut_mst_trajectory,3,2,4,1,0.01,28 68 83 95,41,0.0,97796.0,0.00039717100025882246,0.00039717100025882246,2,5,28 68 83 95 119,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_1__facility_42,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,42,41,1,28 68 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,max_k_cut_group,max_k_cut_mst_trajectory,2.0,2.0,0.0,,top_ltm_mst_trajectory,4,0.8,1,1,41,119,0.86332029300047,45.0,97512.0,98656.0,45.0,115.0,1.0,45.0,45.0,True,21.0,99.0,450.0,179.0,1.0,1.0,2.0,44.0,45.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,3.0,2.0,41 119 124,119 124,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97796.0,0.01845480999963911,0.8813779319998503,0.0,-0.018057638999380288,True
max_k_cut_pairwise_trajectory,4,2,4,1,0.01,28 68 83 95,41,0.0,97796.0,0.0003436249999140273,0.0003436249999140273,2,5,28 68 83 95 119,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_1__facility_42,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,42,41,1,28 68 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,max_k_cut_group,max_k_cut_pairwise_trajectory,2.0,2.0,0.0,,top_ltm_pairwise_trajectory,4,0.8,1,1,41,119,0.8632667470001252,45.0,97512.0,98656.0,45.0,115.0,1.0,45.0,45.0,True,21.0,99.0,450.0,179.0,1.0,1.0,2.0,44.0,45.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,3.0,2.0,41 119 124,119 124,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97796.0,0.01845480999963911,0.8813779319998503,0.0,-0.018111184999725083,True
max_k_cut_mst_range_guard,5,2,4,1,0.01,28 68 83 95,41,0.0,97796.0,0.00041828300072666025,0.00041828300072666025,2,5,28 68 83 95 119,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_1__facility_42,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,42,41,1,28 68 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,max_k_cut_group,max_k_cut_mst_range_guard,2.0,2.0,0.0,,top_ltm_mst_trajectory_range_guard,4,0.8,1,1,41,119,0.8633414050009378,45.0,97512.0,98656.0,45.0,115.0,1.0,45.0,45.0,True,21.0,99.0,450.0,179.0,1.0,1.0,2.0,44.0,45.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,3.0,2.0,41 119 124,119 124,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97796.0,0.01845480999963911,0.8813779319998503,0.0,-0.01803652699891245,True
max_k_cut_pairwise_range_guard,6,2,4,1,0.01,28 68 83 95,41,0.0,97796.0,0.000405949000196415,0.000405949000196415,2,5,28 68 83 95 119,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_1__facility_42,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,42,41,1,28 68 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,max_k_cut_group,max_k_cut_pairwise_range_guard,2.0,2.0,0.0,,top_ltm_pairwise_trajectory_range_guard,4,0.8,1,1,41,119,0.8633290710004076,45.0,97512.0,98656.0,45.0,115.0,1.0,45.0,45.0,True,21.0,99.0,450.0,179.0,1.0,1.0,2.0,44.0,45.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,3.0,2.0,41 119 124,119 124,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97796.0,0.01845480999963911,0.8813779319998503,0.0,-0.018048860999442695,True
random_original_pool_size,7,2,4,1,0.01,28 68 83 95,41,0.0,112590.0,0.0006187909993968788,0.0006187909993968788,2,5,28 44 68 83 95,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_1__facility_42,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,42,41,1,28 68 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,random_original_pool_size,max_k_cut_original,2.0,195.0,0.0,28 41 68 83 95,top_ltm_original,4,0.8,1,1,41,44,0.863541912999608,44.0,97512.0,98098.0,44.0,112.0,2.0,41.0,3.0,False,21.0,98.0,440.0,179.0,1.0,1.0,,,44.0,2.0,0.0,0.0,0.0,,False,,,1.0,3.0,2.0,41 119 124,26 44,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97796.0,0.01845480999963911,0.8813779319998503,15.127408073949855,-0.01783601900024223,True
nearest_original_pool_size,8,2,4,1,0.01,28 68 83 95,41,0.0,97796.0,0.00029429200003505684,0.00029429200003505684,2,5,28 68 83 95 119,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_1__facility_42,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,42,41,1,28 68 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,nearest_original_pool_size,max_k_cut_original,2.0,195.0,0.0,28 41 68 83 95,top_ltm_original,4,0.8,1,1,41,119,0.8632174140002462,44.0,97512.0,98098.0,44.0,112.0,2.0,41.0,3.0,False,21.0,98.0,440.0,179.0,1.0,1.0,,,44.0,2.0,0.0,0.0,0.0,,False,,,1.0,3.0,2.0,41 119 124,108 119,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97796.0,0.01845480999963911,0.8813779319998503,0.0,-0.018160517999604053,True
baseline_all_facilities,1,195,4,1,0.975,28 41 83 95,68,0.0,97665.0,0.018043381000097725,0.018043381000097725,195,5,28 41 83 95 133,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_2__facility_69,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,69,68,2,28 41 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,all_facilities,all_facilities_baseline,,,,,all_facilities_baseline,4,0.8,1,1,68,133,0.8809665030003089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPTIMAL,97665.0,0.018043381000097725,0.8809665030003089,0.0,0.0,True
max_k_cut_original,2,4,4,1,0.02,28 41 83 95,68,0.0,97665.0,0.0007743910000499454,0.0007743910000499454,4,5,28 41 83 95 133,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_2__facility_69,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,69,68,2,28 41 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,max_k_cut_group,max_k_cut_original,4.0,4.0,0.0,,top_ltm_original,4,0.8,1,1,68,133,0.8636975130002611,44.0,97512.0,98098.0,44.0,112.0,2.0,41.0,3.0,False,21.0,98.0,440.0,179.0,1.0,1.0,,,44.0,2.0,0.0,0.0,0.0,,False,,,1.0,5.0,4.0,29 68 74 133 149,29 74 133 149,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97665.0,0.018043381000097725,0.8809665030003089,0.0,-0.01726899000004778,True
max_k_cut_mst_trajectory,3,4,4,1,0.02,28 41 83 95,68,0.0,97665.0,0.0005197369991947198,0.0005197369991947198,4,5,28 41 83 95 133,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_2__facility_69,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,69,68,2,28 41 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,max_k_cut_group,max_k_cut_mst_trajectory,4.0,4.0,0.0,,top_ltm_mst_trajectory,4,0.8,1,1,68,133,0.8634428589994059,45.0,97512.0,98656.0,45.0,115.0,1.0,45.0,45.0,True,21.0,99.0,450.0,179.0,1.0,1.0,2.0,44.0,45.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,5.0,4.0,29 68 74 133 149,29 74 133 149,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97665.0,0.018043381000097725,0.8809665030003089,0.0,-0.017523644000903005,True
max_k_cut_pairwise_trajectory,4,4,4,1,0.02,28 41 83 95,68,0.0,97665.0,0.0006012269996062969,0.0006012269996062969,4,5,28 41 83 95 133,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_2__facility_69,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,69,68,2,28 41 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,max_k_cut_group,max_k_cut_pairwise_trajectory,4.0,4.0,0.0,,top_ltm_pairwise_trajectory,4,0.8,1,1,68,133,0.8635243489998174,45.0,97512.0,98656.0,45.0,115.0,1.0,45.0,45.0,True,21.0,99.0,450.0,179.0,1.0,1.0,2.0,44.0,45.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,5.0,4.0,29 68 74 133 149,29 74 133 149,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97665.0,0.018043381000097725,0.8809665030003089,0.0,-0.017442154000491428,True
max_k_cut_mst_range_guard,5,4,4,1,0.02,28 41 83 95,68,0.0,97665.0,0.0007408710007439367,0.0007408710007439367,4,5,28 41 83 95 133,OPTIMAL,,WORK,kroB200,kroB200__remove_pos_2__facility_69,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.7542136729998674,0.10870944900034374,0.8629231220002112,69,68,2,28 41 83 95,4,863,0.05,44,98098.0,97512.0,101803.0,97512.0,98098.0,max_k_cut_group,max_k_cut_mst_range_guard,4.0,4.0,0.0,,top_ltm_mst_trajectory_range_guard,4,0.8,1,1,68,133,0.8636639930009551,45.0,97512.0,98656.0,45.0,115.0,1.0,45.0,45.0,True,21.0,99.0,450.0,179.0,1.0,1.0,2.0,44.0,45.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,5.0,4.0,29 68 74 133 149,29 74 133 149,6 51 57 83 185 195 | 29 68 74 133 149 | 95 118 136 161 | 7 28 97 | 41 119 124,OPTIMAL,97665.0,0.018043381000097725,0.8809665030003089,0.0,-0.017302509999353788,True
