instance_group,instance,reoptimization_instance,instance_id,n,p,edge_weight_type,raw_path,reference_source,reference_cost,reference_facilities,metaheuristic_runtime_seconds,structure_extraction_runtime_seconds,pre_reoptimization_seconds,removed_facility,removed_facility_zero_based,removal_position,remaining_reference_facilities,remaining_reference_facilities_count,source_ltm_size,top_fraction,top_solution_count,top_cost_cutoff,full_ltm_cost_min,full_ltm_cost_max,top_ltm_cost_min,top_ltm_cost_max,error_message,max_k_cut_original__memory_strategy,max_k_cut_original__analysis_memory_size,max_k_cut_original__analysis_component_count,max_k_cut_original__analysis_is_connected,max_k_cut_original__cooccurrence_active_nodes,max_k_cut_original__cooccurrence_edges,max_k_cut_original__cooccurrence_total_weight,max_k_cut_original__max_k_cut_fraction_cut,max_k_cut_original__max_k_cut_best_facility_separation,max_k_cut_original__pre_connection_component_count,max_k_cut_original__post_connection_component_count,max_k_cut_original__trajectory_added_solution_count,max_k_cut_original__trajectory_movement_count,max_k_cut_original__trajectory_connection_edge_count,max_k_cut_original__trajectory_generated_out_of_range_count,max_k_cut_original__guard_fallback_used,max_k_cut_original__best_component_solution_count,max_k_cut_original__groups,max_k_cut_mst_trajectory__memory_strategy,max_k_cut_mst_trajectory__analysis_memory_size,max_k_cut_mst_trajectory__analysis_component_count,max_k_cut_mst_trajectory__analysis_is_connected,max_k_cut_mst_trajectory__cooccurrence_active_nodes,max_k_cut_mst_trajectory__cooccurrence_edges,max_k_cut_mst_trajectory__cooccurrence_total_weight,max_k_cut_mst_trajectory__max_k_cut_fraction_cut,max_k_cut_mst_trajectory__max_k_cut_best_facility_separation,max_k_cut_mst_trajectory__pre_connection_component_count,max_k_cut_mst_trajectory__post_connection_component_count,max_k_cut_mst_trajectory__trajectory_added_solution_count,max_k_cut_mst_trajectory__trajectory_movement_count,max_k_cut_mst_trajectory__trajectory_connection_edge_count,max_k_cut_mst_trajectory__trajectory_generated_out_of_range_count,max_k_cut_mst_trajectory__guard_fallback_used,max_k_cut_mst_trajectory__best_component_solution_count,max_k_cut_mst_trajectory__groups,max_k_cut_pairwise_trajectory__memory_strategy,max_k_cut_pairwise_trajectory__analysis_memory_size,max_k_cut_pairwise_trajectory__analysis_component_count,max_k_cut_pairwise_trajectory__analysis_is_connected,max_k_cut_pairwise_trajectory__cooccurrence_active_nodes,max_k_cut_pairwise_trajectory__cooccurrence_edges,max_k_cut_pairwise_trajectory__cooccurrence_total_weight,max_k_cut_pairwise_trajectory__max_k_cut_fraction_cut,max_k_cut_pairwise_trajectory__max_k_cut_best_facility_separation,max_k_cut_pairwise_trajectory__pre_connection_component_count,max_k_cut_pairwise_trajectory__post_connection_component_count,max_k_cut_pairwise_trajectory__trajectory_added_solution_count,max_k_cut_pairwise_trajectory__trajectory_movement_count,max_k_cut_pairwise_trajectory__trajectory_connection_edge_count,max_k_cut_pairwise_trajectory__trajectory_generated_out_of_range_count,max_k_cut_pairwise_trajectory__guard_fallback_used,max_k_cut_pairwise_trajectory__best_component_solution_count,max_k_cut_pairwise_trajectory__groups,max_k_cut_mst_range_guard__memory_strategy,max_k_cut_mst_range_guard__analysis_memory_size,max_k_cut_mst_range_guard__analysis_component_count,max_k_cut_mst_range_guard__analysis_is_connected,max_k_cut_mst_range_guard__cooccurrence_active_nodes,max_k_cut_mst_range_guard__cooccurrence_edges,max_k_cut_mst_range_guard__cooccurrence_total_weight,max_k_cut_mst_range_guard__max_k_cut_fraction_cut,max_k_cut_mst_range_guard__max_k_cut_best_facility_separation,max_k_cut_mst_range_guard__pre_connection_component_count,max_k_cut_mst_range_guard__post_connection_component_count,max_k_cut_mst_range_guard__trajectory_added_solution_count,max_k_cut_mst_range_guard__trajectory_movement_count,max_k_cut_mst_range_guard__trajectory_connection_edge_count,max_k_cut_mst_range_guard__trajectory_generated_out_of_range_count,max_k_cut_mst_range_guard__guard_fallback_used,max_k_cut_mst_range_guard__best_component_solution_count,max_k_cut_mst_range_guard__groups
WORK,kroB200,kroB200__remove_pos_0__facility_29,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.6558348429971375,0.08521458900213474,0.7410494319992722,29,28,0,41 68 83 95,4,732,0.05,37,98071.0,97512.0,101598.0,97512.0,98071.0,,top_ltm_original,37,2,False,20,89,370.0,1.0,1.0,,2,0,0,,0,False,,6 57 83 97 185 | 95 118 136 161 | 7 28 51 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_pairwise_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory_range_guard,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124
WORK,kroB200,kroB200__remove_pos_1__facility_42,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.6558348429971375,0.08521458900213474,0.7410494319992722,42,41,1,28 68 83 95,4,732,0.05,37,98071.0,97512.0,101598.0,97512.0,98071.0,,top_ltm_original,37,2,False,20,89,370.0,1.0,1.0,,2,0,0,,0,False,,6 57 83 97 185 | 95 118 136 161 | 7 28 51 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_pairwise_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory_range_guard,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124
WORK,kroB200,kroB200__remove_pos_2__facility_69,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.6558348429971375,0.08521458900213474,0.7410494319992722,69,68,2,28 41 83 95,4,732,0.05,37,98071.0,97512.0,101598.0,97512.0,98071.0,,top_ltm_original,37,2,False,20,89,370.0,1.0,1.0,,2,0,0,,0,False,,6 57 83 97 185 | 95 118 136 161 | 7 28 51 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_pairwise_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory_range_guard,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124
WORK,kroB200,kroB200__remove_pos_3__facility_84,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.6558348429971375,0.08521458900213474,0.7410494319992722,84,83,3,28 41 68 95,4,732,0.05,37,98071.0,97512.0,101598.0,97512.0,98071.0,,top_ltm_original,37,2,False,20,89,370.0,1.0,1.0,,2,0,0,,0,False,,6 57 83 97 185 | 95 118 136 161 | 7 28 51 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_pairwise_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory_range_guard,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124
WORK,kroB200,kroB200__remove_pos_4__facility_96,tsplib_kroB200_p5,200,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/kroB200.tsp,metaheuristic_best_solution,97512.0,28 41 68 83 95,0.6558348429971375,0.08521458900213474,0.7410494319992722,96,95,4,28 41 68 83,4,732,0.05,37,98071.0,97512.0,101598.0,97512.0,98071.0,,top_ltm_original,37,2,False,20,89,370.0,1.0,1.0,,2,0,0,,0,False,,6 57 83 97 185 | 95 118 136 161 | 7 28 51 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_pairwise_trajectory,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124,top_ltm_mst_trajectory_range_guard,38,1,True,20,90,380.0,1.0,1.0,2,1,1,2,1.0,0,False,,6 51 57 83 185 | 95 118 136 161 | 7 28 97 | 29 68 74 133 149 | 41 119 124
WORK,lin105,lin105__remove_pos_0__facility_17,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.137334719998762,0.047316992000560276,0.1846517119993223,17,16,0,50 78 87 102,4,350,0.05,18,32541.0,32395.0,33440.0,32395.0,32541.0,,top_ltm_original,18,2,False,15,58,180.0,1.0,1.0,,2,0,0,,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_pairwise_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory_range_guard,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87
WORK,lin105,lin105__remove_pos_1__facility_51,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.137334719998762,0.047316992000560276,0.1846517119993223,51,50,1,16 78 87 102,4,350,0.05,18,32541.0,32395.0,33440.0,32395.0,32541.0,,top_ltm_original,18,2,False,15,58,180.0,1.0,1.0,,2,0,0,,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_pairwise_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory_range_guard,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87
WORK,lin105,lin105__remove_pos_2__facility_79,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.137334719998762,0.047316992000560276,0.1846517119993223,79,78,2,16 50 87 102,4,350,0.05,18,32541.0,32395.0,33440.0,32395.0,32541.0,,top_ltm_original,18,2,False,15,58,180.0,1.0,1.0,,2,0,0,,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_pairwise_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory_range_guard,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87
WORK,lin105,lin105__remove_pos_3__facility_88,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.137334719998762,0.047316992000560276,0.1846517119993223,88,87,3,16 50 78 102,4,350,0.05,18,32541.0,32395.0,33440.0,32395.0,32541.0,,top_ltm_original,18,2,False,15,58,180.0,1.0,1.0,,2,0,0,,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_pairwise_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory_range_guard,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87
WORK,lin105,lin105__remove_pos_4__facility_103,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.137334719998762,0.047316992000560276,0.1846517119993223,103,102,4,16 50 78 87,4,350,0.05,18,32541.0,32395.0,33440.0,32395.0,32541.0,,top_ltm_original,18,2,False,15,58,180.0,1.0,1.0,,2,0,0,,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_pairwise_trajectory,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87,top_ltm_mst_trajectory_range_guard,19,1,True,15,59,190.0,1.0,1.0,2,1,1,2,1.0,0,False,,46 50 | 78 | 12 13 16 17 24 33 34 | 14 19 102 | 86 87
WORK,rd100,rd100__remove_pos_0__facility_7,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09878535100142471,0.049688305996824056,0.14847365699824877,7,6,0,20 30 55 89,4,317,0.05,16,16441.0,16404.0,17054.0,16404.0,16441.0,,top_ltm_original,16,2,False,14,50,160.0,1.0,1.0,,2,0,0,,0,False,,6 | 45 49 55 64 | 15 30 | 20 74 81 85 | 26 50 89,top_ltm_mst_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_pairwise_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_mst_trajectory_range_guard,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89
WORK,rd100,rd100__remove_pos_1__facility_21,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09878535100142471,0.049688305996824056,0.14847365699824877,21,20,1,6 30 55 89,4,317,0.05,16,16441.0,16404.0,17054.0,16404.0,16441.0,,top_ltm_original,16,2,False,14,50,160.0,1.0,1.0,,2,0,0,,0,False,,6 | 45 49 55 64 | 15 30 | 20 74 81 85 | 26 50 89,top_ltm_mst_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_pairwise_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_mst_trajectory_range_guard,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89
WORK,rd100,rd100__remove_pos_2__facility_31,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09878535100142471,0.049688305996824056,0.14847365699824877,31,30,2,6 20 55 89,4,317,0.05,16,16441.0,16404.0,17054.0,16404.0,16441.0,,top_ltm_original,16,2,False,14,50,160.0,1.0,1.0,,2,0,0,,0,False,,6 | 45 49 55 64 | 15 30 | 20 74 81 85 | 26 50 89,top_ltm_mst_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_pairwise_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_mst_trajectory_range_guard,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89
WORK,rd100,rd100__remove_pos_3__facility_56,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09878535100142471,0.049688305996824056,0.14847365699824877,56,55,3,6 20 30 89,4,317,0.05,16,16441.0,16404.0,17054.0,16404.0,16441.0,,top_ltm_original,16,2,False,14,50,160.0,1.0,1.0,,2,0,0,,0,False,,6 | 45 49 55 64 | 15 30 | 20 74 81 85 | 26 50 89,top_ltm_mst_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_pairwise_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_mst_trajectory_range_guard,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89
WORK,rd100,rd100__remove_pos_4__facility_90,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09878535100142471,0.049688305996824056,0.14847365699824877,90,89,4,6 20 30 55,4,317,0.05,16,16441.0,16404.0,17054.0,16404.0,16441.0,,top_ltm_original,16,2,False,14,50,160.0,1.0,1.0,,2,0,0,,0,False,,6 | 45 49 55 64 | 15 30 | 20 74 81 85 | 26 50 89,top_ltm_mst_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_pairwise_trajectory,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,top_ltm_mst_trajectory_range_guard,18,1,True,14,53,180.0,1.0,1.0,2,1,2,3,1.0,0,False,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89
WORK,u574,u574__remove_pos_0__facility_10,tsplib_u574_p5,574,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/u574.tsp,metaheuristic_best_solution,212074.0,9 121 177 405 514,13.767728442006046,0.19118295999942347,13.95891140200547,10,9,0,121 177 405 514,4,1796,0.05,90,212341.0,212074.0,215394.0,212074.0,212341.0,,top_ltm_original,90,2,False,30,147,900.0,1.0,1.0,,2,0,0,,0,False,,98 117 118 119 120 121 122 | 6 7 8 9 466 468 557 | 183 209 476 477 513 514 515 516 | 176 177 178 179 180 554 | 381 405,top_ltm_mst_trajectory,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516,top_ltm_pairwise_trajectory,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516,top_ltm_mst_trajectory_range_guard,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516
WORK,u574,u574__remove_pos_1__facility_122,tsplib_u574_p5,574,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/u574.tsp,metaheuristic_best_solution,212074.0,9 121 177 405 514,13.767728442006046,0.19118295999942347,13.95891140200547,122,121,1,9 177 405 514,4,1796,0.05,90,212341.0,212074.0,215394.0,212074.0,212341.0,,top_ltm_original,90,2,False,30,147,900.0,1.0,1.0,,2,0,0,,0,False,,98 117 118 119 120 121 122 | 6 7 8 9 466 468 557 | 183 209 476 477 513 514 515 516 | 176 177 178 179 180 554 | 381 405,top_ltm_mst_trajectory,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516,top_ltm_pairwise_trajectory,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516,top_ltm_mst_trajectory_range_guard,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516
WORK,u574,u574__remove_pos_2__facility_178,tsplib_u574_p5,574,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/u574.tsp,metaheuristic_best_solution,212074.0,9 121 177 405 514,13.767728442006046,0.19118295999942347,13.95891140200547,178,177,2,9 121 405 514,4,1796,0.05,90,212341.0,212074.0,215394.0,212074.0,212341.0,,top_ltm_original,90,2,False,30,147,900.0,1.0,1.0,,2,0,0,,0,False,,98 117 118 119 120 121 122 | 6 7 8 9 466 468 557 | 183 209 476 477 513 514 515 516 | 176 177 178 179 180 554 | 381 405,top_ltm_mst_trajectory,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516,top_ltm_pairwise_trajectory,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516,top_ltm_mst_trajectory_range_guard,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516
WORK,u574,u574__remove_pos_3__facility_406,tsplib_u574_p5,574,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/u574.tsp,metaheuristic_best_solution,212074.0,9 121 177 405 514,13.767728442006046,0.19118295999942347,13.95891140200547,406,405,3,9 121 177 514,4,1796,0.05,90,212341.0,212074.0,215394.0,212074.0,212341.0,,top_ltm_original,90,2,False,30,147,900.0,1.0,1.0,,2,0,0,,0,False,,98 117 118 119 120 121 122 | 6 7 8 9 466 468 557 | 183 209 476 477 513 514 515 516 | 176 177 178 179 180 554 | 381 405,top_ltm_mst_trajectory,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516,top_ltm_pairwise_trajectory,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516,top_ltm_mst_trajectory_range_guard,93,1,True,30,153,930.0,1.0,1.0,2,1,3,4,1.0,0,False,,98 117 118 119 120 121 122 | 381 405 | 6 7 8 9 554 557 | 176 177 178 179 180 183 209 | 466 468 476 477 513 514 515 516
